Date,Open,High,Low,Close,Volume,Ex_Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,document_type,10-K,10-K405,10-Q,424B2,424B3,424B5,8-A12B,8-K,CERTNYS,CORRESP,DEF 14A,DEFA14A,DEFR14A,DFAN14A,FWP,NO ACT,NT 10-K,NT 10-Q,PRE 14A,PX14A6G,S-3,S-3ASR,S-4,S-8,SC 13D,SC 13G,SC TO-I,SD,UPLOAD
1996-10-28,25.12,25.12,24.5,24.5,1071400.0,0.0,1.0,0.80706752844549,0.80706752844549,0.78714786810965,0.78714786810965,29999200.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-10-30,23.5,24.0,22.87,22.87,2295100.0,0.0,1.0,0.7550193836970099,0.77108362590333,0.73477843851705,0.73477843851705,64262800.0,S-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1996-12-13,23.75,23.87,23.25,23.25,795500.0,0.0,1.0,0.76305150480017,0.7669069229296899,0.7469872625938601,0.7469872625938601,22274000.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-12-19,23.0,23.25,22.25,22.25,1222200.0,0.0,1.0,0.7389551414907,0.7469872625938601,0.71485877818122,0.71485877818122,34221600.0,10-K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-12-20,22.5,23.62,21.37,23.5,4878900.0,0.0,1.0,0.7228908992843801,0.7588748018265301,0.6865857118980899,0.7550193836970099,136609200.0,424B5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-12-23,24.0,24.25,23.25,23.25,2967000.0,0.0,1.0,0.77108362590333,0.7791157470064899,0.7469872625938601,0.7469872625938601,83076000.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-12-24,23.25,23.37,22.87,23.12,514400.0,0.0,1.0,0.7469872625938601,0.75084268072337,0.73477843851705,0.7428105596202099,14403200.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-12-27,22.87,23.75,22.87,23.12,1223200.0,0.0,1.0,0.73477843851705,0.76305150480017,0.73477843851705,0.7428105596202099,34249600.0,DEF 14A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-01-17,16.75,17.12,16.62,16.75,2903100.0,0.0,1.0,0.5381521139117,0.55003965314438,0.53397541093806,0.5381521139117,81286800.0,424B3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-01-31,16.62,16.62,16.5,16.62,1782400.0,0.0,1.0,0.53397541093806,0.53397541093806,0.5301199928085399,0.53397541093806,49907200.0,DEFA14A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-02-05,15.25,15.63,15.25,15.25,3522200.0,0.0,1.0,0.48995938729274,0.50216821136955,0.48995938729274,0.48995938729274,98621600.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1997-02-10,16.12,16.12,15.63,15.63,1655400.0,0.0,1.0,0.5179111687317399,0.5179111687317399,0.50216821136955,0.50216821136955,46351200.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1997-02-10,16.12,16.12,15.63,15.63,1655400.0,0.0,1.0,0.5179111687317399,0.5179111687317399,0.50216821136955,0.50216821136955,46351200.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-02-21,16.87,17.0,16.0,16.37,1884700.0,0.0,1.0,0.54200753204122,0.5461842350148599,0.51405575060222,0.5259432898349,52771600.0,424B3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-03-21,17.5,17.5,16.37,16.62,1218400.0,0.0,1.0,0.5622484772211801,0.5622484772211801,0.5259432898349,0.53397541093806,34115200.0,S-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997-03-21,17.5,17.5,16.37,16.62,1218400.0,0.0,1.0,0.5622484772211801,0.5622484772211801,0.5259432898349,0.53397541093806,34115200.0,S-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997-04-09,19.25,19.25,18.87,19.0,2187400.0,0.0,1.0,0.6184733249433,0.6184733249433,0.6062645008665,0.61044120384014,61247200.0,SC 13D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1997-04-10,19.0,19.12,18.5,18.87,1044500.0,0.0,1.0,0.61044120384014,0.61429662196966,0.5943769616338199,0.6062645008665,29246000.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-04-25,17.62,17.87,17.37,17.5,780200.0,0.0,1.0,0.5661038953506999,0.5741360164538599,0.5580717742475401,0.5622484772211801,21845600.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-05-07,16.87,17.0,16.37,16.5,1019800.0,0.0,1.0,0.54200753204122,0.5461842350148599,0.5259432898349,0.5301199928085399,28554400.0,424B3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-05-12,17.25,17.62,17.0,17.56,1473000.0,0.0,1.0,0.55421635611802,0.5661038953506999,0.5461842350148599,0.5641761862859399,41244000.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-05-30,16.5,17.0,16.37,16.62,1583300.0,0.0,1.0,0.5301199928085399,0.5461842350148599,0.5259432898349,0.53397541093806,44332400.0,S-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997-06-02,17.0,17.0,16.75,16.94,371300.0,0.0,1.0,0.5461842350148599,0.5461842350148599,0.5381521139117,0.5442565259501,10396400.0,S-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997-06-18,16.12,16.25,15.75,15.94,979000.0,0.0,1.0,0.5179111687317399,0.52208787170538,0.50602362949906,0.51212804153746,27412000.0,424B3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07-28,16.44,16.5,16.25,16.44,986700.0,0.0,1.0,0.52819228374378,0.5301199928085399,0.52208787170538,0.52819228374378,27627600.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-08-11,26.31,26.44,23.5,24.56,13848200.0,0.0,1.0,0.84530042489653,0.84947712787017,0.7550193836970099,0.7890755771744101,387749600.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-05,22.62,22.87,22.0,22.19,1220600.0,0.0,1.0,0.7267463174138901,0.73477843851705,0.70682665707806,0.71293106911646,34176800.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-16,22.06,22.14,21.75,21.94,1198400.0,0.0,1.0,0.70875436614281,0.71132464489583,0.6987945359748999,0.7048989480133,33555200.0,424B3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-25,21.31,21.75,21.0,21.12,1994500.0,0.0,1.0,0.68465800283334,0.6987945359748999,0.67469817266542,0.67855359079493,55846000.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09-25,21.31,21.75,21.0,21.12,1994500.0,0.0,1.0,0.68465800283334,0.6987945359748999,0.67469817266542,0.67855359079493,55846000.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-10-07,21.87,22.0,21.81,21.81,975800.0,0.0,1.0,0.70264995410441,0.70682665707806,0.7007222450396501,0.7007222450396501,27322400.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-12-05,15.56,16.0,15.56,15.81,1977400.0,0.0,1.0,0.49991921746066,0.51405575060222,0.49991921746066,0.50795133856382,55367200.0,10-K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-12-05,15.56,16.0,15.56,15.81,1977400.0,0.0,1.0,0.49991921746066,0.51405575060222,0.49991921746066,0.50795133856382,55367200.0,PRE 14A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997-12-11,14.44,14.56,13.88,14.56,2294100.0,0.0,1.0,0.46393531491851,0.46779073304802,0.4459433636474301,0.46779073304802,64234800.0,S-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
