document_type,description,file_number
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005732 (33 Act)  Size: 215 KB,333-22267218920287
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005731 (33 Act)  Size: 220 KB,333-22267218920274
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005766 (33 Act)  Size: 327 KB,333-22267218921636
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005871 (33 Act)  Size: 282 KB,333-22267218925171
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005870 (33 Act)  Size: 409 KB,333-22267218925169
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005869 (33 Act)  Size: 290 KB,333-22267218925157
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005016 (33 Act)  Size: 322 KB,333-22267218925155
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007901 (33 Act)  Size: 176 KB,333-22267218925845
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005866 (33 Act)  Size: 515 KB,333-22267218925127
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005859 (33 Act)  Size: 274 KB,333-22267218924961
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005858 (33 Act)  Size: 362 KB,333-22267218924956
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005856 (33 Act)  Size: 531 KB,333-22267218924935
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005017 (33 Act)  Size: 105 KB,333-22267218925204
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005867 (33 Act)  Size: 331 KB,333-22267218925140
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005876 (33 Act)  Size: 341 KB,333-22267218925233
